권역명,노선명,출발역,도착역
수도권,1호선,구로,가산디지털단지
수도권,1호선,구로,구일
수도권,1호선,가산디지털단지,독산
수도권,1호선,독산,금천구청
수도권,1호선,금천구청,광명
수도권,1호선,금천구청,석수
수도권,1호선,석수,관악
수도권,1호선,관악,안양
수도권,1호선,안양,명학
수도권,1호선,명학,금정
수도권,1호선,금정,군포
수도권,1호선,군포,당정
수도권,1호선,당정,의왕
수도권,1호선,의왕,성균관대
수도권,1호선,성균관대,화서
수도권,1호선,화서,수원
수도권,1호선,수원,세류
수도권,1호선,세류,병점
수도권,1호선,병점,서동탄
수도권,1호선,병점,세마
수도권,1호선,세마,오산대
수도권,1호선,오산대,오산
수도권,1호선,오산,진위
수도권,1호선,진위,송탄
수도권,1호선,구일,개봉
수도권,1호선,개봉,오류동
수도권,1호선,오류동,온수
수도권,1호선,온수,역곡
수도권,1호선,역곡,소사
수도권,1호선,소사,부천
수도권,1호선,부천,중동
수도권,1호선,중동,송내
수도권,1호선,송내,부개
수도권,1호선,부개,부평
수도권,1호선,부평,백운
수도권,1호선,백운,동암
수도권,1호선,동암,간석
수도권,1호선,간석,주안
수도권,1호선,주안,도화
수도권,1호선,도화,제물포
수도권,1호선,제물포,도원
수도권,1호선,도원,동인천
수도권,1호선,동인천,인천
수도권,2호선,신도림,대림(구로구청)
수도권,2호선,대림(구로구청),구로디지털단지
수도권,2호선,구로디지털단지,신대방
수도권,2호선,신대방,신림
수도권,2호선,신림,봉천
수도권,2호선,신도림,도림천
수도권,2호선,도림천,양천구청
수도권,2호선,양천구청,신정네거리
수도권,2호선,신정네거리,까치산
수도권,2호선,성수,뚝섬
수도권,2호선,뚝섬,한양대
수도권,2호선,한양대,왕십리
수도권,2호선,왕십리,상왕십리
수도권,2호선,상왕십리,신당
수도권,2호선,성수,용답
수도권,2호선,용답,신답
수도권,2호선,신답,용두(동대문구청)
수도권,2호선,용두(동대문구청),신설동
수도권,2호선,을지로입구,시청
수도권,5호선,강동,길동
수도권,5호선,길동,굽은다리(강동구민회관앞)
수도권,5호선,굽은다리(강동구민회관앞),명일
수도권,5호선,명일,고덕
수도권,5호선,고덕,상일동
수도권,5호선,상일동,강일
수도권,5호선,강일,미사
수도권,5호선,미사,하남풍산
수도권,5호선,하남풍산,하남시청(덕풍.신장)
수도권,5호선,강동,둔촌동
수도권,5호선,둔촌동,올림픽공원(한국체대)
수도권,5호선,올림픽공원(한국체대),방이
수도권,5호선,방이,오금
수도권,5호선,오금,개롱
수도권,5호선,개롱,거여
수도권,5호선,거여,마천
수도권,경의중앙,한국항공대,수색
수도권,경의중앙,수색,디지털미디어시티
수도권,경의중앙,디지털미디어시티,가좌
수도권,경의중앙,가좌,신촌
수도권,경의중앙,신촌,서울역
수도권,경춘,상봉,광운대
수도권,경춘,상봉,망우
수도권,경춘,망우,신내
