권역,권역명,철도운영기관명,노선명,순번,역명,위도,경도
01,수도권,공항철도주식회사,공항,1,서울역,37.55301784,126.9697643
01,수도권,공항철도주식회사,공항,2,공덕,37.54284055,126.9513301
01,수도권,공항철도주식회사,공항,3,홍대입구,37.55774103,126.9264939
01,수도권,공항철도주식회사,공항,4,디지털미디어시티,37.577355,126.898025
01,수도권,공항철도주식회사,공항,5,마곡나루,37.56581914,126.8276358
01,수도권,공항철도주식회사,공항,6,김포공항,37.56211652,126.8015442
01,수도권,공항철도주식회사,공항,7,계양,37.57160721,126.736023
01,수도권,공항철도주식회사,공항,8,검암,37.56915547,126.6735357
01,수도권,공항철도주식회사,공항,9,청라국제도시,37.556509,126.624725
01,수도권,공항철도주식회사,공항,10,영종,37.51209814,126.5242471
01,수도권,공항철도주식회사,공항,11,운서,37.49284463,126.4936619
01,수도권,공항철도주식회사,공항,12,공항화물청사,37.45902611,126.4774333
01,수도권,공항철도주식회사,공항,13,인천공항1터미널,37.44760672,126.4523433
01,수도권,공항철도주식회사,공항,14,인천공항2터미널,37.46866,126.433415
02,부산,부산김해경전철주식회사,부산김해경전철,1,사상(서부터미널),35.1623018,128.9859408
02,부산,부산김해경전철주식회사,부산김해경전철,2,괘법르네시떼(강변공원),35.1632616,128.9776836
02,부산,부산김해경전철주식회사,부산김해경전철,3,서부산유통지구(금호마을),35.16640204,128.9548881
02,부산,부산김해경전철주식회사,부산김해경전철,4,공항,35.171906,128.948586
02,부산,부산김해경전철주식회사,부산김해경전철,5,덕두,35.182001,128.954198
02,부산,부산김해경전철주식회사,부산김해경전철,6,등구,35.196143,128.963599
02,부산,부산김해경전철주식회사,부산김해경전철,7,대저,35.213066,128.960562
02,부산,부산김해경전철주식회사,부산김해경전철,8,평강,35.214105,128.950825
02,부산,부산김해경전철주식회사,부산김해경전철,9,대사,35.217657,128.938417
02,부산,부산김해경전철주식회사,부산김해경전철,10,불암,35.222162,128.927893
02,부산,부산김해경전철주식회사,부산김해경전철,11,지내,35.2275,128.923721
02,부산,부산김해경전철주식회사,부산김해경전철,12,김해대학(안동),35.22899,128.915612
02,부산,부산김해경전철주식회사,부산김해경전철,13,인제대(활천),35.228099,128.901736
02,부산,부산김해경전철주식회사,부산김해경전철,14,김해시청,35.227103,128.89041
02,부산,부산김해경전철주식회사,부산김해경전철,15,부원,35.22646624,128.8838997
02,부산,부산김해경전철주식회사,부산김해경전철,16,봉황(김해여객터미널),35.22726757,128.8743069
02,부산,부산김해경전철주식회사,부산김해경전철,17,수로왕릉(김해보건소),35.2328215,128.8721409
02,부산,부산김해경전철주식회사,부산김해경전철,18,박물관,35.24006467,128.8718628
02,부산,부산김해경전철주식회사,부산김해경전철,19,연지공원,35.24965763,128.8692908
02,부산,부산김해경전철주식회사,부산김해경전철,20,장신대(화정),35.25955642,128.8671142
02,부산,부산김해경전철주식회사,부산김해경전철,21,가야대(삼계),35.26672721,128.8650703
02,부산,부산교통공사,1호선,1,다대포해수욕장,35.048229,128.965919
02,부산,부산교통공사,1호선,2,다대포항,35.057288,128.971151
02,부산,부산교통공사,1호선,3,낫개,35.065179,128.979702
02,부산,부산교통공사,1호선,4,신장림,35.074222,128.976538
02,부산,부산교통공사,1호선,5,장림,35.081555,128.9773083
02,부산,부산교통공사,1호선,6,동매,35.089819,128.974029
02,부산,부산교통공사,1호선,7,신평,35.09556,128.96056
02,부산,부산교통공사,1호선,8,하단(부산본병원),35.10611,128.96667
02,부산,부산교통공사,1호선,9,당리(사하구청),35.10333,128.97417
02,부산,부산교통공사,1호선,10,사하,35.09972,128.98333
02,부산,부산교통공사,1호선,11,괴정,35.1,128.9925
02,부산,부산교통공사,1호선,12,대티(동주대학),35.10306,128.99972
